cep,logradouro,bairro,localidade,uf,lat,lng
06386680,"Rua Marina Teixeira","Vila Creti",Carapicuíba,SP,-23.5293400,-46.8411166
06390260,"Rua Regina","Jardim Sandra Regina",Carapicuíba,SP,-23.5391365,-46.8528266
06390420,"Rua Registro","Cidade Ariston Estela Azevedo",Carapicuíba,SP,-23.5401264,-46.8572592
06390560,"Travessa Olaria","Vila Menk",Carapicuíba,SP,-23.5385292,-46.8468864
06395060,"Rua Gália","Cidade Ariston Estela Azevedo",Carapicuíba,SP,-23.5295616,-46.8512551
06395460,"Rua Dallas","Parque Sampaio Viana",Carapicuíba,SP,-23.5345126,-46.8456689
06396130,"Rua Lins de Vasconcelos","Cidade Ariston Estela Azevedo",Carapicuíba,SP,-23.5302993,-46.8545106
06396500,"Rua Cardoso","Cidade Ariston Estela Azevedo",Carapicuíba,SP,-23.5218226,-46.8541748
06397170,"Rua Araguaia","Vila Lourdes",Carapicuíba,SP,-23.5296088,-46.8560899
06397360,"Rua Assis","Jardim Santa Rita",Carapicuíba,SP,-23.5351977,-46.8580373
